Code,Descirption
17131,"Cotton yarn (khadi), spinning"
17111,"Cotton yarn, spinning (not charkha)"
15511,"Country liquor, manufacturing"
35203,"Coupling devices (for railway locomotives), manufacturing"
31904,"Couplings (electric equipment/application), manufacturing"
64120,Courier activities other than national post activities
15440,"Couscous, manufacturing"
45401,"Covering floor/wall with carpets, cut to size, fixing etc; building completion activity"
45401,"Covering floor/wall with parquet, building completion activity"
45401,"Covering floor/wall with wall paper etc., cut to size, fixing etc; building completion activity"
15203,"Cream (milk), manufacturing"
24242,"Cream for footwear, manufacturing"
85320,"Creches, day-care centres for children"
65924,Credit and service activities of banks and other forms pledging of gold (gold security)
65924,"Credit cards, activities"
93030,"Cremation / burial grounds, operation and maintenance"
1122,"Cress, growing"
36932,"Cricket bats, stumps and other cricket accessories, manufacturing"
17301,"Crocheted cotton textile products,  manufacturing"
17212,"Crocheted made up (except apparel) textile goods, manufacturing"
17303,"Crocheted synthetic textile products, manufacturing"
17309,"Crocheted textile products nec, manufacturing"
17302,"Crocheted woolen textile products, manufacturing"
51392,"Crockery and chinaware, wholesale"
71301,"Crockery and utensils, renting out"
52331,"Crockery, glassware & plastic ware, retail sale by specialized stores"
1300,"Crops and meat cattle, mixed farming"
1300,"Crops and other animals, mixed farming"
1300,"Crops and sheep, mixed farming"
1119,"Crops nec., growing"
33125,"Cross-talk meters, manufacturing"
75231,"CRPF, CISF etc., activities"
26922,"Crucibles of ceramic refractory, manufacturing"
14106,Crushing / breaking of stone for use as building material
14106,Crushing / breaking of stone for use as flux or raw material
14106,Crushing / breaking of stone for use as other construction materials
14106,Crushing / breaking of stone for use as road metal or ballast
15127,"Crustacean, preservation"
33115,"Crutches, manufacturing"
1121,"Cucumbers, growing"
5022,Cultivation of oysters for food in fish hatcheries
5022,Cultivation of oysters for pearls in fish hatcheries
75123,Cultural and other services (excluding social security) of local government bodies
75121,Cultural and other services (excluding social security) of Union government.
75122,Cultural and other services (excluding social security)of state governments.
1135,"Cumin, growing"
15492,Curing of coffee
36913,"Currency coins, minting"
22213,"Currency notes, printing"
18201,"Currying of fur, for trade"
18201,"Currying of other pelts, for trade"
17211,"Curtains, manufacturing"
30007,"Curve followers (computer peripherals), manufacturing"
25119,"Cushion tyres (rubber), manufacturing"
17214,"Cushions, manufacturing"
63090,"Custom house brokerage, activity"
18105,Custom tailoring
28999,"Cut lasses, swords, bayonets and similar arms of metal, manufacturing"
28931,"Cutlery knife & knife blades of metal, manufacturing"
29225,"Cut-off machines, manufacturing"
31901,"Cut-outs (electrical equipment), manufacturing"
36912,Cutting and polishing of diamond
36912,Cutting and polishing of other gem nec
26960,Cutting of stone
92114,"Cutting, auxiliary activity of motion picture production, on a fee or contract basis"
26960,"Cutting, shaping and finishing stone, for roofing and other applications"
26960,"Cutting, shaping and finishing stone, for use in cemeteries"
26960,"Cutting, shaping and finishing stone, for use in construction"
26960,"Cutting, shaping and finishing stone, for use on roads"
22300,"CVD, duplication"
72901,"Cyber café, activities"
35921,"Cycle rickshaws, manufacturing"
52399,"Cycle rickshaws, retail sale by specialized stores"
35911,"Cycles fitted with an auxiliary engine, manufacturing"
74993,Cyclostyling services
29251,"Dairy industry machinery, manufacturing"
15209,"Dairy products n.e.c., manufacturing"
51222,"Dairy products, wholesale"
30007,"Daisy wheel printers, manufacturing"
15313,Dal milling
15497,"Dal, frying"
92142,"Dancers, activity"
72400,"Data dissemination of another firm on electronic media by installing and maintaining a required network etc., undertaken by a computer firm"
30007,"Data entry equipment with visual display, manufacturing"
30007,"Data entry equipment without visual display, manufacturing"
72300,Data processing
72400,"Data storage works, undertaken by a computer firm"
72400,Database activities and distribution of electronic content
72400,"Database development / its storage & distribution on electronic media, undertaken by a computer firm"
72400,"Database development like MIS developed by NIC for estate office, CPWD"
85320,Day-care activities for the handicapped
85320,Day-care centres for children (creches)
51101,"Dealings by commission agents, in sale of agricultural raw material"
51102,"Dealings by commission agents, in sale of chemicals"
51101,"Dealings by commission agents, in sale of food & beverages"
51102,"Dealings by commission agents, in sale of fuel and petroleum products"
51102,"Dealings by commission agents, in sale of glass"
51101,"Dealings by commission agents, in sale of intoxicants"
51101,"Dealings by commission agents, in sale of live animals"
51103,"Dealings by commission agents, in sale of machinery & equipment (other than transport machinery)"
51102,"Dealings by commission agents, in sale of minerals, ores & metals"
51102,"Dealings by commission agents, in sale of paper"
51102,"Dealings by commission agents, in sale of perfumery & cosmetics"
51102,"Dealings by commission agents, in sale of skin, leather & fur"
51101,"Dealings by commission agents, in sale of textiles"
51102,"Dealings by commission agents, in sale of wood"
35303,"Deck arrestor or similar gear, manufacturing"
36942,"Decoration pieces (wood), manufacturing"
1404,Decorticating of harvested crop
75220,Defence activities
15122,"Dehydration of fish, artificial"
15132,"Dehydration of fruits, artificial"
15122,"Dehydration of sea food,  artificial"
15132,"Dehydration of vegetables, artificial"
45500,"Demolition / construction equipment with operator, renting out"
20213,"Densified wood, manufacturing"
33112,"Dental drill engines, manufacturing"
24245,"Dental fixative pastes and powders etc., manufacturing"
85110,"Dental hospitals, activities"
85122,Dental practice activities
52190,"Departmental stores carrying out retail trade of wearing apparel, appliances, cosmetics, jewellery, toys, sporting goods  etc."
11203,"Derrick building, service activity of gas extraction, off shore"
11204,"Derrick building, service activity of gas extraction, on shore"
11201,"Derrick building, service activity of oil extraction, off shore"
11202,"Derrick building, service activity of oil extraction, on shore"
1402,"Desalination of soil, services"
92141,Design of scenery and lighting in theatrical  presentation / dance programmes.
72294,Designing of web-page
33111,"Desks (based on the use of X-Rays/alpha, beta or gamma rays  in medical field), manufacturing"
30003,"Desktop calculating machines, manufacturing"
24243,"Detergents, manufacturing"
70105,Developing and subdividing real estate into lots
74130,Development of new products by studying consumer acceptance of products
74130,Development of new products by studying consumer familiarity of products
72292,"Development, production, supply and documentation of made-to-order soft-ware based on orders from specific users"
55206,"Dhaba meals, providing of"
93097,"Dhai/Aaya, services"
55102,"Dharamshalas, service, room accommodation"
36912,Diamond cutting & polishing
14291,"Diamond, mining"
14109,"Diaspore, non-clay mineral, mining"
28939,"Dies of metal, manufacturing"
23201,"Diesel, manufacturing"
35201,"Diesel-engine (train locomotive), manufacturing"
10300,Digging of peat
32204,"Digital electronic exchange, apparatus, manufacturing"
30006,"Digital systems which include peripheral units such as additional input/output units, additional storage units etc., manufacturing"
32105,"Diodes, manufacturing"
27120,"Direct reduced iron (DRI), manufacturing"
11203,"Directional drilling, service activity of gas extraction, off shore"
11204,"Directional drilling, service activity of gas extraction, on shore"
11201,"Directional drilling, service activity of oil extraction, off shore"
11202,"Directional drilling, service activity of oil extraction, on shore"
31503,"Discharge lamps of the type fluorescent/hot-cathode, manufacturing"
29308,"Dishwashers, manufacturing"
24294,"Diskettes (prepared unrecorded) for recording other phenomena, manufacturing"
24294,"Diskettes (prepared unrecorded) for sound recording, manufacturing"
23300,"Dispersion of natural uranium, manufacturing"
90001,"Disposal of garbage, activities"
80901,"Distance Education Programme nec., conducted by institutes"
15519,Distilling of spirits; ethyl alcohol production from fermented materials n.e.c.
29198,"Distilling plants, manufacturing"
40107,Distribution of  bio-gas energy
40200,Distribution of gaseous fuel through mains
41000,"Distribution of water (community level), after collection and purification"
92112,"Distribution, motion pictures"
92113,"Distribution, of video production"
52339,"Diverse household articles of textile materials, retail sale by specialized stores"
85121,"Doctor's consultancy at residence, activities"
14104,"Dolomite, mining"
29304,"Domestic appliances with self contained electric motors n.e.c., manufacturing"
29308,"Domestic appliances, nec., manufacturing"
29306,"Domestic refrigerators, manufacturing"
52599,"Door to door sale (retail), by sales persons."
20221,"Doors of timber, manufacturing"
55104,Dormitory accommodation provided at camping site
15317,"Dough for bread, manufacturing"
15317,"Dough for cake, manufacturing"
45301,Drainage activity
92141,"Drama / other theatrical forms, production"
92149,"Dramatic arts, music and other art activities n.e.c."
93010,Drapery and curtain cleaning in clients' premises
24299,"Drawing ink, manufacturing"
35115,"Dredges, manufacturing"
15315,"Dried leguminous vegetables flour of roots, milling"
15315,"Dried leguminous vegetables meal of roots, milling"
29222,"Drilling machines, manufacturing"
28939,"Drills of metal, manufacturing"
29131,"Driving elements, manufacturing"
29138,"Driving elements, repair & maintenance"
34102,"Drop frame lorries, manufacturing"
17225,"Druggets of cotton/wool/silk, manufacturing"
17255,"Druggets, manufacture by hand"
28992,"Drums (metal container), manufacturing"
93010,Dry-cleaning and washing of textile and fur products
1404,Drying of harvested crop
1114,Drying of tobacco leaves
92114,"Dubbing, auxiliary activity of motion picture production, on a fee or contract basis"
1407,"Dung gathering, activity"
14109,"Dunite, non-clay mineral, mining"
74997,"Duplicating & mailing activity etc, secretarial activities"
72502,Duplicating Machine / Xerox Machine / Typewriter repair service
22300,Duplication of audio cassette
22300,Duplication of audio CD
22300,Duplication of computer CD from master CD
22300,Duplication of computer tapes from master tape
22300,Duplication of CVD
22300,Duplication of DVD
22300,Duplication of floppies from master floppy
22300,Duplication of hard disks from master hard disks
22300,Duplication of non-customized software
22300,Duplication of video cassette
22300,Duplication of Video CD
17225,"Durries of cotton/wool/silk, manufacturing"
17255,"Durries, manufacture by hand"
93098,Dusting (general household maintenance) activity
22300,"DVD, duplication"
24113,"Dyeing extracts, manufacturing"
24114,"Dyes and colouring matter for final use by household consumers, manufacturing"
24114,"Dyes and colouring matter for final use by industrial consumers, manufacturing"
24114,"Dyes and colouring matter for final use by institutional consumers, manufacturing"
31906,"Dynamos for cycles and  motor-cycles, manufacturing"
32309,"Ear-phone, manufacturing"
14213,"Earth colours, mining"
26911,"Earthen statues, manufacturing"
26911,"Earthenware, manufacturing"
55203,"Eating place for light snacks, tea stall"
55203,"Eating place, canteens"
55202,"Eating place, restaurants without bars"
52512,E-commerce facility employed in retail sale
51902,E-commerce facility employed in wholesale
74130,"Economic and social issues, investigation on collective opinions of the public"
28133,"Economizers (plant) of metal, manufacturing"
15117,Edible animal fat (other) rendering
15117,Edible animal fats (other) refining
15315,"Edible flour of nuts, milling"
15315,"Edible nuts meal, milling"
15493,"Edible nuts, processing"
51225,"Edible oils, wholesale"
80101,"Education activity carried out in kindergartens, in LKG / UKG"
80101,Education activity carried out in lower primary schools
80101,Education activity carried out in primary schools
80211,Education activity carried out in secondary schools (general)
80212,Education activity carried out in secondary schools for handicapped
80212,Education activity carried out in senior  secondary schools for handicapped
80211,"Education activity carried out in senior secondary schools (general, 10+2 level)."
80222,Education activity carried out in technical / vocational school for handicapped
80221,Education activity carried out in technical and vocational secondary school with specific subject matter specialization
80221,Education activity carried out in technical and vocational senior  secondary school with specific subject matter specialization
80101,Education activity carried out in upper  primary schools
80901,"Education by correspondence, through radio/television broadcasting and other distance learning media"
55104,Education institutions providing hostel accommodation
75123,Education services of local government bodies.
75122,Education services of state governments
75121,Education services of Union government.
80903,Educational service by way of individual imparting tuitions
2004,"Eel grass, gathering from forest"
1407,"Egg cleaning and grading, activity"
15499,"Egg powder, manufacturing"
1122,"Eggplants, growing"
51223,"Eggs, wholesale"
31907,"Electric balls, manufacturing"
29305,"Electric coffee/tea makers, manufacturing"
29305,"Electric cookers, manufacturing"
93030,"Electric crematorium, operation and maintenance"
31902,"Electric defrosters and demisters, manufacturing"
29309,"Electric domestic appliances parts and accessories, manufacturing"
29303,"Electric fans, manufacturing"
31501,"Electric filament lamps, manufacturing"
52335,"Electric goods & supplies nec., retail sale by specialized stores"
29305,"Electric hot plates for cooking, manufacturing"
29305,"Electric irons, manufacturing"
31103,"Electric motors, manufacturing"
31108,"Electric motors, repair and maintenance"
31102,"Electric motors, rewinding of"
29305,"Electric ovens, manufacturing"
45309,"Electric power plant, installation"
29308,"Electric razors, manufacturing"
31902,"Electric signaling including sound signaling equipment (for use on cycles and motor vehicles), manufacturing"
29305,"Electric toasters, manufacturing"
35201,"Electric train locomotive, manufacturing"
31907,"Electric visual signaling apparatus, manufacturing"
29305,"Electric/electronic cooking appliances n.e.c., manufacturing"
71301,"Electrical appliances, renting out"
32102,"Electrical capacitors (or condensers), adjustable, manufacturing"
32102,"Electrical capacitors (or condensers), fixed, manufacturing"
32102,"Electrical capacitors (or condensers), variable, manufacturing"
31901,"Electrical ignition equipment for spark ignition / compression ignition, manufacturing"
45303,Electrical installation work for constructions
25206,"Electrical insulating fitting of plastic, manufacturing"
51595,"Electrical machinery, equipment and supplies nec., wholesale"
31909,"Electrical mine detonators, manufacturing"
32103,Electrical resisters n.e.c. (other than heating resisters)
31903,"Electrical signaling, safety or traffic control equipment for in land-water ways, manufacturing"
31903,"Electrical signaling, safety or traffic control equipment for motor ways, manufacturing"
31903,"Electrical signaling, safety or traffic control equipment for ports and harbours, manufacturing"
31903,"Electrical signaling, safety or traffic control equipment for railways, manufacturing"
40107,Electricity generated by bio-gas based electric plant
40105,"Electricity generated by gas based electric plant, transmission"
40108,Electricity generated from wind energy / energy from waves etc.
40104,Electricity generation by atomic reactor power plant
40102,Electricity generation by coal based thermal electric plant
40105,Electricity generation by gas-based electric plant
40103,Electricity generation by oil-based thermal electric plant
40101,"Electricity generation, by hydro-power plant"
33122,"Electricity supply meters, manufacturing"
40109,"Electricity, collection and distribution to  commercial users"
40109,"Electricity, collection and distribution to general users"
40109,"Electricity, collection and distribution to households"
40109,"Electricity, collection and distribution to individuals"
40109,"Electricity, collection and distribution to users nec"
33112,"Electro-cardiographs (ecg), manufacturing"
31904,"Electro-magnetic clutches, manufacturing"
31904,"Electro-magnetic or permanent magnet chucks, manufacturing"
31904,"Electro-magnets, manufacturing"
29304,"Electro-mechanical domestic appliances (others) with self-contained electric motors n.e.c., manufacturing"
32106,"Electronic integrated circuits, manufacturing"
32106,"Electronic micro-assemblies, manufacturing"
30001,"Electronic typewriters, manufacturing"
32108,"Electronic valves & tubes and other electronic components, repair and maintenance"
51521,"Electronic valves and tubes, wholesale"
29305,"Electro-thermic domestic appliances n.e.c., manufacturing"
29305,"Electro-thermic hair dressing appliances, manufacturing"
24111,"Elemental gases, manufacturing"
60211,"Elevated railway  (other than urban / suburban), transport"
60212,"Elevated railway, urban / suburban, transport."
45302,"Elevators, installation"
18204,Embossing of leather articles
18204,Embroidering of leather articles
17241,Embroidery work by hand
17291,"Embroidery work, other than by hand"
14291,"Emerald, mining"
14292,"Emery corundum, mining and quarrying"
24222,"Enamels, manufacturing"
29111,"Engine (steam), manufacturing"
80302,Engineering college conducting Graduate degree courses in engineering
80302,Engineering college conducting Post Graduate and above degree courses in engineering
29118,"Engines & turbines (except aircraft, vehicles & cycle engines), repair & maintenance"
35914,"Engines of motorcycles, manufacturing"
35914,"Engines of scooters, manufacturing"
35914,"Engines of three-wheelers, manufacturing"
22221,Engraving
33209,"Enlargers and reducers, manufacturing"
23300,"Enriched uranium and its compounds, manufacturing"
45302,"Escalators, installation"
24293,"Essential oils, manufacturing"
1403,Establishing of new variety / strain of crop developed
22221,Etching
15519,"Ethyl alcohol out of fermented materials n.e.c, manufacturing"
99000,"European Commission, activities of"
75131,"Excise administration, by Union government for efficient functioning."
26999,"Exfoliated vermiculite, manufacturing"
29199,"Exhaust hoods for commercial use, manufacturing"
29199,"Exhaust hoods for industrial use, manufacturing"
29199,"Exhaust hoods for laboratory use, manufacturing"
34300,"Exhaust pipes for motor vehicles, manufacturing"
26999,"Expended clays and similar insulating material, manufacturing"
24292,"Explosives, manufacturing"
65929,Extending of loans by money lenders
65929,Extending of loans by private commercial companies etc.
15143,Extracting (solvent method) of vegetable fats
15143,Extracting (solvent method) of vegetable oil
10300,Extraction of peat
23300,Extraction of uranium metal
28113,"Fabricated structural products of metals other than iron&steel, manufacturing"
17115,"Fabrics of cotton mixture, manufacturing (not handloom)"
17115,"Fabrics of cotton, woven (not handloom)"
17116,"Fabrics of silk mixture, manufacturing (not handloom)"
17118,"Fabrics of yarn from man made fibre, woven (not handloom)"
17117,"Fabrics wool mixture, manufacturing (not handloom)"
93020,"Facial massage, beauty treatment"
32202,"Facsimile radiotelegraphic apparatus and such other apparatus,  manufacturing"
21016,"False board, manufacturing"
20296,"Fancy basket of bamboo, manufacturing"
20296,"Fancy basket of cane, manufacturing"
29199,"Fans intended for industrial applications, manufacturing"
15440,"Farinaceous products n.e.c., manufacturing"
1225,Farming of rabbits including angora rabbits
15149,"Fats nec, other animals, manufacturing"
15149,"Fats nec, other vegetables, manufacturing"
15143,Fats of vegetable through extraction (solvent method)
15142,"Fats of vegetable, manufacturing (not through extraction)"
24293,"Fats, modification by chemical process (e.g. by oxidation, polymerization etc.)"
51225,"Fats, wholesale"
91110,"Federations, activities"
15332,"Feed for poultry, manufacturing"
15339,"Feed n.e.c. for bird, manufacturing"
29294,"Feeders, manufacturing"
2002,Felling timber and producing of fuel wood
2002,Felling timber and producing of pickets
2002,Felling timber and producing of pitprops
2002,Felling timber and producing of split poles
2002,"Felling timber and producing of, hewn railway tiles"
26999,"Felt of asbestos yarn, manufacturing"
17229,"Felt of textile, manufacturing"
27110,"Ferro alloys, manufacturing"
14219,"Fertilizers n .e.c., mining"
52397,"Fertilizers, retail sale by specialized stores"
51497,"Fertilizers, wholesale"
20213,"Fiber board, manufacturing"
26102,"Fibre glass, manufacturing"
21097,"File board, manufacturing"
21097,"File cover, manufacturing"
29225,"Filling machines, manufacturing"
92112,"Film distribution, allied activities"
22300,Film duplicating
92114,"Film editing, auxiliary activity of motion picture production, on a fee or contract basis"
92114,"Film editing, auxiliary activity of video production, on a fee or contract basis"
29197,"Filtering apparatus (for liquids and gases), manufacturing"
29197,"Filtering machinery (for liquids and gases), manufacturing"
5022,"Fin fish, growing in fish hatcheries"
67190,"Financial advisers, activities"
65921,Financial institutions other than banks financing  hire-purchase of consumer durable goods like vehicles / TV etc
65910,Financial leasing
24299,"Fine chemicals/chemical n.e.c., manufacturing"
45403,Finish carpentry work like finishing of door / windows / panels etc.
45403,"Finishing of door / windows / panels etc., finish carpentry work"
19116,Finishing of garment leather
19116,Finishing of lining leather
26960,Finishing of stone
17149,"Finishing of textiles (khadi/handloom), n.e.c."
19116,Finishing of upper leather
45402,Finishing work like glazing / plastering / painting and decorating
45403,"Finishing work nec, of buildings"
66030,Fire & other natural calamities insurance by financial company
29271,"Fire arms which fire blank cartridges, manufacturing"
29271,"Fire arms which fire capture bolts, manufacturing"
29271,"Fire arms which fire signal flares, manufacturing"
28111,"Fire escapes of metal, manufacturing"
2005,"Fire fighting, forestry service activity"
75232,"Fire protection force, State Govt., services"
75231,"Fire protection force, Union Govt., services"
2004,"Fire wood, gathering from forest"
29193,"Fire-extinguishers, manufacturing"
52395,"Firewood, retail sale by specialized stores"
24292,"Fire-works, manufacturing"
5023,"Fish farms services, their related service activities"
5022,Fish hatchery's cultivation of oysters for food
5022,Fish hatchery's cultivation of oysters for pearls
28931,"Fish knives, tongs and other metal articles of use at table or kitchen, manufacturing"
15129,"Fish n.e.c., preservation"
15129,"Fish products nec, preservation"
15124,"Fish, canning"
15123,"Fish, preservation (radiation)"
15121,"Fish, sun-drying"
51223,"Fish, wholesale"
5011,Fishing on commercial basis in coastal areas
5012,Fishing on commercial basis in inland waters.
5011,Fishing on commercial basis in ocean
5011,Fishing on commercial basis in sea
92411,"Fitness centres, operation and maintenance"
32102,"Fixed electrical capacitors (condensers), manufacturing"
51433,"Fixtures & flat glass, wholesale"
36101,"Fixtures made of cane and reed, manufacturing"
36101,"Fixtures made of wood, manufacturing"
20293,"Fixtures of bamboo/cane/reed/grass products etc., manufacturing"
20293,"Fixtures of grass products, manufacturing"
20293,"Fixtures of reed, manufacturing"
36102,"Fixtures primarily of metal, manufacturing"
36103,"Fixtures primarily of plastics, manufacturing"
31505,"Flash bulbs, used in photography, manufacturing"
31506,"Flash lights, manufacturing"
19111,Flaying and curing of raw hides
19111,Flaying and curing of skins
35115,"Floating docks, manufacturing"
35116,"Floating tanks etc, construction"
35112,"Floating vessels drawn by power for other special purposes, manufacturing"
51311,"Floor coverings and tapestry, wholesale"
17229,"Floor coverings n.e.c. of textile, manufacturing"
17229,"Floor coverings of other kindred fibres n.e.c., manufacturing"
17229,"Floor coverings of sannhemp, manufacturing"
45402,Floor sanding and other similar finishing work
45402,Floor sanding and similar other furnishing work
36997,"Floor sweepers (hand operated mechanical), mops and feather dusters, manufacturing"
24294,"Floppies (prepared unrecorded) and other media for recording other phenomena, manufacturing"
24294,"Floppies (prepared unrecorded) and other media for sound recording, manufacturing"
22300,"Floppies from master floppy, duplication"
30007,"Floppy, disks drive (for computer use), manufacturing"
31503,"Florescent, hot-cathode or other discharge lamps, manufacturing"
15317,"Flour (wet), food, manufacturing"
15311,Flour milling
15315,"Flour of dried leguminous vegetables of roots, milling"
15315,"Flour of edible nuts, milling"
15311,"Flour of gram, milling"
15147,"Flour of kernel (non-defatted), manufacturing"
15147,"Flour of oil nut (non-defatted), manufacturing"
15147,"Flour of oilseed (non-defatted), manufacturing"
15138,"Flour of potatoes, manufacturing"
15311,"Flour of rice, milling"
15315,"Flour of tuber of dried leguminous vegetable, milling"
15497,"Flour of vitaminised high proteins, manufacturing"
15311,"Flour of wheat, milling"
15317,"Flour, blended and prepared, for food, manufacturing"
15118,"Flours of meat offal, production"
15118,"Flours of meat, production"
1122,"Flower buds, growing"
1122,"Flower, growing"
51215,"Flowers & plants, wholesale"
52399,"Flowers and plants,  retail sale by specialized stores."
14214,"Fluorspar, mining"
20212,Flush door manufacturing
25203,"Flushing cisterns of plastic, manufacturing"
35301,"Flying balloons, manufacturing"
63033,"Flying control centres, operation & maintenance"
63033,"Flying facilities, operation & maintenance"
29294,"Folders, manufacturing"
51101,"Food & beverages, sale through commission agents"
15316,Food (breakfast) of grain (cereal roasting)
15316,"Food (breakfast), based on swelling cereal grain"
15316,"Food (breakfast), cereal roasting, grain"
75301,"Food for works scheme of Union Govt., operation of"
29304,"Food processors, manufacturing"
52110,Food products retail sale by non-specialized stores
52209,"Food products, retail sale by specialized stores"
15123,"Food similar to fish, preservation (radiation)"
15494,"Foods (malted), manufacturing"
19201,"Footwear (excluding repair) except of vulcanized or molded rubber or plastic, manufacturing"
19202,"Footwear made primarily of vulcanized or molded rubber and plastic, manufacturing"
19209,"Footwear n.e.c. of rubber / plastic / canvas / any like combinations, manufacturing"
26999,"Footwear of asbestos fabric, manufacturing"
19202,"Footwear of canvas-cum-plastic, manufacturing"
19202,"Footwear of canvas-cum-rubber, manufacturing"
19202,"Footwear of plastic & PVC, manufacturing"
19202,"Footwear of plastic, manufacturing"
19202,"Footwear of rubber, manufacturing"
71309,"Footwear, renting out"
52601,"Footwear, repair service"
52323,"Footwear, retail sale by specialized stores"
51312,"Footwear, wholesale"
1119,"Forage plants, growing"
29213,"Forage presses, manufacturing"
75210,Foreign affairs activities
67190,Foreign exchange services
2005,"Forest management, forestry service activity"
2005,Forestry service activity of afforestation / re-forestation
2005,Forestry service activity of fire fighting
2005,Forestry service activity of forest management
2005,Forestry service activity of timber cruising
2005,Forestry service activity of timber evaluation
28910,Forging of metal
70105,Formation of lots for sale by developing and sub dividing real estate
22190,"Forms, publishing"
63090,"Forwarding of freight, activity"
45209,"Foundation work, construction and maintenance of, on a fee or contract basis"
24236,"Fracture bandages, manufacturing"
33202,"Frames fitted with lenses, manufacturing"
29306,"Freezers (domestic), manufacturing"
29191,"Freezing equipments (commercial purposes), manufacturing"
63090,"Freight brokerage, activity"
60102,Freight railway transport
35111,Freight ship making
60232,Freight transport by bullock carts
60232,Freight transport by cycle rickshaws
60232,Freight transport by man-drawn vehicles
60231,Freight transport by motor vehicles
60231,Freight transport by three wheelers.
60231,Freight transport by trucks / tempos.
60232,"Freight transport other than by motor vehicles, on roads"
60102,Freight transport by railways
52202,"Fresh fruits and vegetables, retail sale by specialized stores"
26999,"Friction material with a base of asbestos/cellulose etc., manufacturing"
17243,"Fringes and laces, making by hand"
17291,"Fringes and laces, making other than by  hand"
1229,"Frog farms, raising"
15126,"Frog legs, canning"
15137,Fruit canning
1139,"Fruit crops nec., growing"
15139,"Fruit, preservation (n.e.c.)"
15131,"Fruit, sun-drying"
51221,"Fruits & vegetables, wholesale"
15435,"Fruits peals preservation, in sugar"
15435,"Fruits preservation, in sugar"
15139,"Fruits, preservation (freezing)"
15133,"Fruits, preservation (radiation)"
28996,"Fry pans, manufacturing"
15497,Frying of dal
15497,Frying of other cereals
51102,"Fuel & petroleum products, sale through commission agents"
2002,"Fuel wood, felling timber and producing"
2004,"Fuel wood, gathering from forest"
14108,"Fuller's earth / fire clay etc., mining"
75302,Functioning of targeted public distribution system/PDS in the state
93030,Funeral and related activities
24211,"Fungicides, manufacturing"
18209,"Fur products n.e.c., manufacturing"
29141,"Furnaces (non-electric), for roasting, melting etc of ores/non-metallic minerals, manufacturing"
29149,"Furnaces and furnace burners nec, manufacturing"
29148,"Furnaces and furnace burners, repair & maintenance"
29142,"Furnaces/ovens (electric), manufacturing"
45402,Furnishing work like floor sanding
17211,"Furnishings, manufacturing"
51393,"Furniture & fixtures, wholesale"
36101,"Furniture made of cane and reed, manufacturing"
36101,"Furniture made of wood, manufacturing"
36102,"Furniture primarily of metal, manufacturing"
36103,"Furniture primarily of plastics, manufacturing"
71301,"Furniture, renting out"
52333,"Furniture, retail sale by specialized stores"
29191,"Furniture, to accommodate refrigeration of freezing equipment, manufacturing"
63023,"Furniture, warehousing of"
31200,"Fuses (electricity distribution / control), manufacturing"
92490,Gambling and betting activity
1500,Game propagation and related service activities
52398,"Games and toys, retail sale by specialized stores"
51399,"Games and toys, wholesale"
1117,"Ganja (chiefly pharmaceutical uses), growing"
90001,"Garbage collection, activities"
90001,"Garbage, disposal"
90001,"Garbage, transportation"
95000,"Gardeners, activity of private households as employers of"
1408,Gardening activities
92330,"Gardens, botanical, zoological, operations"
36998,"Garland from natural fresh flowers, manufacturing"
19116,"Garment leather, finishing"
14291,"Garnet (gem), mining"
14292,"Garnet, mining and quarrying"
45207,"Gas based power/other non-conventional source power plants, construction"
45207,"Gas based power/other non-conventional source power plants, maintenance"
28121,"Gas cylinders of metal, manufacturing"
29271,"Gas guns, manufacturing"
17294,"Gas mantles, manufacturing"
33114,"Gas masks other than simple protective masks, manufacturing"
28133,"Gas recoverers (plant) of metal, manufacturing"
52332,"Gas stoves, cooking / kitchen appliances, retail sale by specialized stores"
29302,"Gas stoves, manufacturing"
33122,"Gas supply meters, manufacturing"
35201,"Gas turbine engine (train locomotive), manufacturing"
29119,"Gas turbines (prime mover of electric generator), manufacturing"
40200,"Gaseous fuel, distribution of, through mains"
51410,"Gaseous fuels and related products, wholesale"
29199,"Gaskets (metal), manufacturing"
95000,"Gate-keepers employed, activity of private households as employers"
2004,Gathering of acorns from forest
5021,Gathering of algae
2004,Gathering of balatta and other rubber like gums from forest
2004,Gathering of balsams from forest
1136,Gathering of berries
5021,Gathering of coral
2004,Gathering of cork from forest
2004,Gathering of eel grass from forest
2004,Gathering of fire wood from forest
2004,Gathering of fuel wood from forest
2004,Gathering of horse-chestnuts from forest
2004,Gathering of lac from forest
5021,Gathering of marine materials
2004,Gathering of mosses from forest
5021,Gathering of natural pearls
1136,Gathering of nuts
2004,Gathering of other wild growing forest materials
2004,Gathering of resins from forest
5021,Gathering of sponges
2003,Gathering of tendu leaves (tobacco spread on this leaf and rolled into bidi)
2004,Gathering of vegetable hair from forest
2004,Gathering of wild growing forest materials nec
33123,"Gauges, manufacturing"
29223,"Gear cutting machines, manufacturing"
34300,"Gear-boxes for motor vehicles, manufacturing"
29131,"Gearing elements, manufacturing"
29138,"Gearing elements, repair & maintenance"
29131,"Gears, manufacturing"
29138,"Gears, repair & maintenance"
24295,"Gelatin derivatives, manufacturing"
24295,"Gelatin, manufacturing"
14291,"Gemstones, mining"
75131,"General administrative service activities, in the different sectors of economy, by the Union government, intended towards increasing  efficiency  in the respective fields of business"
80301,"General higher education in science, commerce and humanity"
93098,General household maintenance activities n.e.c.
